"state","deaths","year"
"Alabama","2313",1999
"Alaska","294",1999
"Arizona","2214",1999
"Arkansas","1287",1999
"California","9198",1999
"Colorado","1519",1999
"Connecticut","1034",1999
"Delaware","267",1999
"District of Columbia","161",1999
"Florida","5961",1999
"Georgia","3078",1999
"Hawaii","293",1999
"Idaho","597",1999
"Illinois","4125",1999
"Indiana","2309",1999
"Iowa","1123",1999
"Kansas","1126",1999
"Kentucky","1730",1999
"Louisiana","1940",1999
"Maine","458",1999
"Maryland","1296",1999
"Massachusetts","1303",1999
"Michigan","3188",1999
"Minnesota","1772",1999
"Mississippi","1642",1999
"Missouri","2465",1999
"Montana","461",1999
"Nebraska","668",1999
"Nevada","710",1999
"New Hampshire","329",1999
"New Jersey","2227",1999
"New Mexico","969",1999
"New York","4797",1999
"North Carolina","3290",1999
"North Dakota","267",1999
"Ohio","3630",1999
"Oklahoma","1609",1999
"Oregon","1199",1999
"Pennsylvania","4614",1999
"Rhode Island","243",1999
"South Carolina","1901",1999
"South Dakota","351",1999
"Tennessee","2677",1999
"Texas","7227",1999
"Utah","650",1999
"Vermont","209",1999
"Virginia","2214",1999
"Washington","1914",1999
"West Virginia","798",1999
"Wisconsin","1955",1999
"Wyoming","258",1999
"Alabama","2093",2000
"Alaska","343",2000
"Arizona","2326",2000
"Arkansas","1267",2000
"California","8577",2000
"Colorado","1702",2000
"Connecticut","1175",2000
"Delaware","290",2000
"District of Columbia","204",2000
"Florida","6267",2000
"Georgia","3103",2000
"Hawaii","343",2000
"Idaho","518",2000
"Illinois","4041",2000
"Indiana","2139",2000
"Iowa","1070",2000
"Kansas","1054",2000
"Kentucky","1838",2000
"Louisiana","2006",2000
"Maine","407",2000
"Maryland","1182",2000
"Massachusetts","1357",2000
"Michigan","3220",2000
"Minnesota","1711",2000
"Mississippi","1653",2000
"Missouri","2398",2000
"Montana","495",2000
"Nebraska","640",2000
"Nevada","730",2000
"New Hampshire","321",2000
"New Jersey","2284",2000
"New Mexico","995",2000
"New York","4244",2000
"North Carolina","3525",2000
"North Dakota","248",2000
"Ohio","3492",2000
"Oklahoma","1566",2000
"Oregon","1248",2000
"Pennsylvania","4583",2000
"Rhode Island","235",2000
"South Carolina","1974",2000
"South Dakota","321",2000
"Tennessee","2743",2000
"Texas","7407",2000
"Utah","665",2000
"Vermont","234",2000
"Virginia","2396",2000
"Washington","2049",2000
"West Virginia","817",2000
"Wisconsin","2159",2000
"Wyoming","245",2000
"Alabama","2211",2001
"Alaska","345",2001
"Arizona","2475",2001
"Arkansas","1277",2001
"California","8132",2001
"Colorado","1720",2001
"Connecticut","1056",2001
"Delaware","290",2001
"District of Columbia","223",2001
"Florida","6969",2001
"Georgia","3396",2001
"Hawaii","372",2001
"Idaho","568",2001
"Illinois","4077",2001
"Indiana","2185",2001
"Iowa","1051",2001
"Kansas","1156",2001
"Kentucky","1990",2001
"Louisiana","2029",2001
"Maine","490",2001
"Maryland","1339",2001
"Massachusetts","1506",2001
"Michigan","3291",2001
"Minnesota","1797",2001
"Mississippi","1571",2001
"Missouri","2455",2001
"Montana","468",2001
"Nebraska","633",2001
"Nevada","739",2001
"New Hampshire","374",2001
"New Jersey","2405",2001
"New Mexico","1020",2001
"New York","4982",2001
"North Carolina","3438",2001
"North Dakota","238",2001
"Ohio","3857",2001
"Oklahoma","1700",2001
"Oregon","1313",2001
"Pennsylvania","4552",2001
"Rhode Island","293",2001
"South Carolina","1960",2001
"South Dakota","382",2001
"Tennessee","2709",2001
"Texas","7920",2001
"Utah","643",2001
"Vermont","230",2001
"Virginia","2432",2001
"Washington","2072",2001
"West Virginia","834",2001
"Wisconsin","2100",2001
"Wyoming","272",2001
"Alabama","2228",2002
"Alaska","346",2002
"Arizona","2577",2002
"Arkansas","1311",2002
"California","10107",2002
"Colorado","1812",2002
"Connecticut","1182",2002
"Delaware","292",2002
"District of Columbia","200",2002
"Florida","7396",2002
"Georgia","3333",2002
"Hawaii","393",2002
"Idaho","611",2002
"Illinois","4222",2002
"Indiana","2148",2002
"Iowa","1093",2002
"Kansas","1139",2002
"Kentucky","2090",2002
"Louisiana","2115",2002
"Maine","511",2002
"Maryland","1332",2002
"Massachusetts","1413",2002
"Michigan","3285",2002
"Minnesota","1928",2002
"Mississippi","1642",2002
"Missouri","2641",2002
"Montana","524",2002
"Nebraska","762",2002
"Nevada","860",2002
"New Hampshire","357",2002
"New Jersey","2599",2002
"New Mexico","1105",2002
"New York","4663",2002
"North Carolina","3700",2002
"North Dakota","246",2002
"Ohio","4146",2002
"Oklahoma","1580",2002
"Oregon","1397",2002
"Pennsylvania","4728",2002
"Rhode Island","277",2002
"South Carolina","1972",2002
"South Dakota","348",2002
"Tennessee","2744",2002
"Texas","8232",2002
"Utah","714",2002
"Vermont","240",2002
"Virginia","2479",2002
"Washington","2203",2002
"West Virginia","956",2002
"Wisconsin","2274",2002
"Wyoming","289",2002
"Alabama","2179",2003
"Alaska","321",2003
"Arizona","2697",2003
"Arkansas","1304",2003
"California","10471",2003
"Colorado","1806",2003
"Connecticut","1112",2003
"Delaware","287",2003
"District of Columbia","233",2003
"Florida","7919",2003
"Georgia","3528",2003
"Hawaii","415",2003
"Idaho","605",2003
"Illinois","3942",2003
"Indiana","2196",2003
"Iowa","1164",2003
"Kansas","1089",2003
