state,demVote,year,south1
Alabama,44806,2000,TRUE
Alaska,2708,2000,FALSE
Arizona,40050,2000,TRUE
Arkansas,27925,2000,FALSE
California,229380,2000,FALSE
Colorado,27114,2000,FALSE
Connecticut,29446,2000,FALSE
Delaware,6666,2000,TRUE
District of Columbia,6076,2000,TRUE
Florida,163224,2000,FALSE
Georgia,62028,2000,FALSE
Hawaii,8270,2000,FALSE
Idaho,9579,2000,FALSE
Illinois,108436,2000,FALSE
Indiana,55303,2000,FALSE
Iowa,28411,2000,TRUE
Kansas,24472,2000,FALSE
Kentucky,39321,2000,FALSE
Louisiana,41238,2000,FALSE
Maine,12261,2000,FALSE
Maryland,43089,2000,FALSE
Massachusetts,55840,2000,TRUE
Michigan,87232,2000,FALSE
Minnesota,38537,2000,FALSE
Mississippi,28185,2000,FALSE
Missouri,55931,2000,FALSE
Montana,8128,2000,FALSE
Nebraska,15579,2000,FALSE
Nevada,15082,2000,FALSE
New Hampshire,9537,2000,FALSE
New Jersey,73981,2000,TRUE
New Mexico,13676,2000,FALSE
New York,159927,2000,FALSE
North Carolina,69600,2000,FALSE
North Dakota,6103,2000,FALSE
Ohio,108517,2000,FALSE
Oklahoma,34700,2000,FALSE
Oregon,29422,2000,TRUE
Pennsylvania,130283,2000,FALSE
Rhode Island,9708,2000,TRUE
South Carolina,36053,2000,TRUE
South Dakota,6953,2000,FALSE
Tennessee,53765,2000,FALSE
Texas,146858,2000,TRUE
Utah,12058,2000,FALSE
Vermont,4993,2000,FALSE
Virginia,55320,2000,FALSE
Washington,43865,2000,FALSE
West Virginia,21049,2000,TRUE
Wisconsin,46672,2000,FALSE
Wyoming,4042,2000,TRUE
Wyoming,4045,1999,TRUE
