state,demVote,year,south1
Alabama,44806,1999,TRUE
Alaska,2708,1999,FALSE
Arizona,40050,1999,TRUE
Arkansas,27925,1999,FALSE
California,229380,1999,FALSE
Colorado,27114,1999,FALSE
Connecticut,29446,1999,FALSE
Delaware,6666,1999,TRUE
District of Columbia,6076,1999,TRUE
Florida,163224,1999,FALSE
Georgia,62028,1999,FALSE
Hawaii,8270,1999,FALSE
Idaho,9579,1999,FALSE
Illinois,108436,1999,FALSE
Indiana,55303,1999,FALSE
Iowa,28411,1999,TRUE
Kansas,24472,1999,FALSE
Kentucky,39321,1999,FALSE
Louisiana,41238,1999,FALSE
Maine,12261,1999,FALSE
Maryland,43089,1999,FALSE
Massachusetts,55840,1999,TRUE
Michigan,87232,1999,FALSE
Minnesota,38537,1999,FALSE
Mississippi,28185,1999,FALSE
Missouri,55931,1999,FALSE
Montana,8128,1999,FALSE
Nebraska,15579,1999,FALSE
Nevada,15082,1999,FALSE
New Hampshire,9537,1999,FALSE
New Jersey,73981,1999,TRUE
New Mexico,13676,1999,FALSE
New York,159927,1999,FALSE
North Carolina,69600,1999,FALSE
North Dakota,6103,1999,FALSE
Ohio,108517,1999,FALSE
Oklahoma,34700,1999,FALSE
Oregon,29422,1999,TRUE
Pennsylvania,130283,1999,FALSE
Rhode Island,9708,1999,TRUE
South Carolina,36053,1999,TRUE
South Dakota,6953,1999,FALSE
Tennessee,53765,1999,FALSE
Texas,146858,1999,TRUE
Utah,12058,1999,FALSE
Vermont,4993,1999,FALSE
Virginia,55320,1999,FALSE
Washington,43865,1999,FALSE
West Virginia,21049,1999,TRUE
Wisconsin,46672,1999,FALSE
Wyoming,4042,1999,TRUE
Alabama,45062,2000,TRUE
Alaska,2914,2000,
Arizona,40500,2000,
Arkansas,28217,2000,
California,229551,2000,
Colorado,27288,2000,
Connecticut,30129,2000,
Delaware,6875,2000,
District of Columbia,6001,2000,
Florida,164395,2000,
Georgia,63870,2000,
Hawaii,8290,2000,
Idaho,9563,2000,
Illinois,106634,2000,
Indiana,55469,2000,
Iowa,28060,2000,
Kansas,24717,2000,
Kentucky,39504,2000,
Louisiana,41138,2000,
Maine,12354,2000,
Maryland,43753,2000,
Massachusetts,56681,2000,
Michigan,86953,2000,
Minnesota,37690,2000,
Mississippi,28654,2000,
Missouri,54865,2000,
Montana,8096,2000,
Nebraska,14992,2000,
Nevada,15261,2000,
New Hampshire,9697,2000,
New Jersey,74800,2000,
New Mexico,13425,2000,
New York,158203,2000,
North Carolina,71935,2000,
North Dakota,5856,2000,
Ohio,108125,2000,
Oklahoma,35079,2000,
Oregon,29552,2000,
Pennsylvania,130813,2000,
Rhode Island,10027,2000,
South Carolina,36948,2000,
South Dakota,7021,2000,
Tennessee,55246,2000,
Texas,149939,2000,
Utah,12364,2000,
Vermont,5127,2000,
Virginia,56282,2000,
Washington,43941,2000,
West Virginia,21114,2000,
Wisconsin,46461,2000,
Wyoming,3920,2000,
Alabama,45316,2001,
Alaska,2974,2001,
Arizona,41058,2001,
Arkansas,27759,2001,
California,234044,2001,
Colorado,28294,2001,
Connecticut,29827,2001,
Delaware,7112,2001,
District of Columbia,5951,2001,
Florida,167269,2001,
Georgia,64485,2001,
Hawaii,8394,2001,
Idaho,9753,2001,
Illinois,105430,2001,
Indiana,55198,2001,
Iowa,27791,2001,
Kansas,24647,2001,
Kentucky,39861,2001,
Louisiana,41757,2001,
Maine,12421,2001,
Maryland,43839,2001,
Massachusetts,56754,2001,
Michigan,86424,2001,
Minnesota,37735,2001,
Mississippi,28259,2001,
